"country","job","impr_rel_diff","ctr_diff"
"FR","Legal Counsel",0.0546299883765982,0.00110032401440599
"FR","Machine Learning",0.0408060453400503,-0.00900026031709877
"FR","Nurse",0.526112185686654,0.0133829957838649
"FR","Child care worker",0.801699716713881,0.0132434860736747
"FR","Truck Driver",-0.755756578947368,-0.0440817227702474
"FR","Hairdresser",0.293680297397769,0.00361247947454844
"FR","Legal Counsel",0.0593031875463306,0.000864122166029466
"FR","Machine Learning",0.0434362934362935,-0.00975290099330608
"FR","Nurse",0.532623785284591,0.0144222030898742
"FR","Child care worker",0.801742919389978,0.00354119882535844
"FR","Truck Driver",-0.757527733755943,-0.0397962010172268
"FR","Hairdresser",0.302325581395349,-0.000101317122593717
"FR","Legal Counsel",0.0837004405286343,0.000673497859238948
"FR","Machine Learning",0.0395824271422358,-0.000257716330119461
