"country","job","gender","clicks","impressions","datetime","ctr","time","impr_rel"
"ES","Nurse","female",5,306,2020-09-11 16:08:00,0.0163398692810458,0.45,0.765
"ES","Nurse","male",1,93,2020-09-11 16:08:00,0.010752688172043,0.45,0.2325
"ES","Nurse","undetermined",NA,1,2020-09-11 16:08:00,NA,0.45,0.0025
"ES","Hairdresser","female",3,161,2020-09-11 16:08:00,0.0186335403726708,0.45,0.545762711864407
"ES","Hairdresser","male",1,134,2020-09-11 16:08:00,0.00746268656716418,0.45,0.454237288135593
"ES","Child care worker","female",NA,462,2020-09-11 16:08:00,NA,0.45,0.593068035943517
"ES","Child care worker","male",NA,297,2020-09-11 16:08:00,NA,0.45,0.381258023106547
"ES","Child care worker","undetermined",NA,20,2020-09-11 16:08:00,NA,0.45,0.0256739409499358
"ES","Truck Driver","male",NA,183,2020-09-11 16:08:00,NA,0.45,0.635416666666667
"ES","Truck Driver","female",NA,105,2020-09-11 16:08:00,NA,0.45,0.364583333333333
"ES","Legal Counsel","female",NA,257,2020-09-11 16:08:00,NA,0.45,0.544491525423729
"ES","Legal Counsel","male",NA,209,2020-09-11 16:08:00,NA,0.45,0.442796610169492
"ES","Legal Counsel","undetermined",NA,6,2020-09-11 16:08:00,NA,0.45,0.0127118644067797
"ES","Machine Learning","male",1,361,2020-09-11 16:12:00,0.00277008310249307,0.5167,0.51793400286944
"ES","Hairdresser","female",3,199,2020-09-11 16:12:00,0.0150753768844221,0.5167,0.554317548746518
"ES","Legal Counsel","male",NA,394,2020-09-11 16:12:00,NA,0.5167,0.47242206235012
"ES","Legal Counsel","female",1,425,2020-09-11 16:12:00,0.00235294117647059,0.5167,0.509592326139089
"ES","Truck Driver","undetermined",NA,1,2020-09-11 16:12:00,NA,0.5167,0.00230414746543779
"ES","Truck Driver","female",NA,152,2020-09-11 16:12:00,NA,0.5167,0.350230414746544
"ES","Truck Driver","male",1,281,2020-09-11 16:12:00,0.00355871886120996,0.5167,0.647465437788018
"ES","Hairdresser","male",2,160,2020-09-11 16:12:00,0.0125,0.5167,0.445682451253482
"ES","Nurse","undetermined",NA,1,2020-09-11 16:12:00,NA,0.5167,0.00188679245283019
"ES","Machine Learning","female",NA,330,2020-09-11 16:12:00,NA,0.5167,0.473457675753228
"ES","Nurse","male",1,124,2020-09-11 16:12:00,0.00806451612903226,0.5167,0.233962264150943
"ES","Nurse","female",6,405,2020-09-11 16:12:00,0.0148148148148148,0.5167,0.764150943396226
"ES","Child care worker","undetermined",NA,28,2020-09-11 16:12:00,NA,0.5167,0.0233527939949958
"ES","Child care worker","male",1,462,2020-09-11 16:12:00,0.00216450216450216,0.5167,0.385321100917431
"ES","Child care worker","female",1,709,2020-09-11 16:12:00,0.00141043723554302,0.5167,0.591326105087573
"ES","Machine Learning","undetermined",NA,6,2020-09-11 16:12:00,NA,0.5167,0.00860832137733142
"ES","Legal Counsel","undetermined",NA,15,2020-09-11 16:12:00,NA,0.5167,0.0179856115107914
"ES","Hairdresser","male",3,160,2020-09-11 16:15:00,0.01875,0.5667,0.445682451253482
"ES","Hairdresser","female",5,199,2020-09-11 16:15:00,0.0251256281407035,0.5667,0.554317548746518
"ES","Legal Counsel","undetermined",NA,14,2020-09-11 16:15:00,NA,0.5667,0.0167865707434053
"ES","Legal Counsel","male",NA,407,2020-09-11 16:15:00,NA,0.5667,0.488009592326139
"ES","Legal Counsel","female",1,413,2020-09-11 16:15:00,0.00242130750605327,0.5667,0.495203836930456
"ES","Machine Learning","female",NA,330,2020-09-11 16:15:00,NA,0.5667,0.473457675753228
"ES","Machine Learning","male",1,361,2020-09-11 16:15:00,0.00277008310249307,0.5667,0.51793400286944
"ES","Machine Learning","undetermined",NA,6,2020-09-11 16:15:00,NA,0.5667,0.00860832137733142
"ES","Nurse","male",1,116,2020-09-11 16:15:00,0.00862068965517241,0.5667,0.218867924528302
"ES","Nurse","female",6,413,2020-09-11 16:15:00,0.0145278450363196,0.5667,0.779245283018868
"ES","Nurse","undetermined",NA,1,2020-09-11 16:15:00,NA,0.5667,0.00188679245283019
"ES","Child care worker","undetermined",NA,26,2020-09-11 16:15:00,NA,0.5667,0.0216847372810676
"ES","Child care worker","male",1,446,2020-09-11 16:15:00,0.00224215246636771,0.5667,0.371976647206005
"ES","Child care worker","female",1,727,2020-09-11 16:15:00,0.00137551581843191,0.5667,0.606338615512927
"ES","Truck Driver","male",2,285,2020-09-11 16:15:00,0.00701754385964912,0.5667,0.65668202764977
"ES","Truck Driver","female",NA,148,2020-09-11 16:15:00,NA,0.5667,0.341013824884793
"ES","Truck Driver","undetermined",NA,1,2020-09-11 16:15:00,NA,0.5667,0.00230414746543779
"ES","Hairdresser","undetermined",NA,1,2020-09-11 16:25:00,NA,0.7333,0.00194552529182879
